Sample,Phenotype,Time,0.4425/385,0.4498/625,0.4711/463,0.4715/659,0.4766/757,0.4772/675,0.4781/591,0.485/736,0.4887/223,0.489/699,0.4891/691,0.493/654,0.4941/925,0.4943/787,0.4971/637,0.4972/689,0.5047/627,0.5058/835,0.5327/267,0.5438/445,0.8564/715,1.0767/403,1.1583/767,1.1625/699,1.3234/331,1.3318/309,1.4087/417,1.4112/485,1.5491/683,1.6114/265,1.8172/475,1.8563/721,1.8763/813,1.8927/853,1.944/1044,1.9734/851,1.9754/783,1.9887/474,2.6085/452,2.6114/520,2.6882/827,2.7608/837,2.7725/478,2.7851/1139,2.7863/1062,2.7865/1027,2.8595/927,2.8615/919,2.8641/987,2.8743/955,2.9488/1060,2.9812/779,3.0263/811,3.0321/869,3.0641/1042,3.108/897,3.1514/919,3.1522/851,3.1578/841,3.1586/987,3.1656/517,3.2347/1012,3.2501/568,3.3406/1074,3.4112/898,3.4279/589,3.4352/728,3.4383/660,3.4422/926,3.4428/1019,3.4435/951,3.4459/837,3.7057/658,3.733/704,3.7339/636,3.7992/756,3.8778/851,3.916/782,3.917/850,3.9806/473,3.9807/722,3.9862/634,4.0271/805,4.0289/873,4.2076/873,4.2116/941,4.2159/784,4.2164/1028,4.2193/852,4.2229/920,4.2231/1096,4.2912/664,4.3148/653,4.3965/1116,4.4961/849,4.4984/917,4.4995/902,4.5023/828,4.5031/896,4.5942/1162,4.6889/1164,4.6892/944,4.6905/1022,4.6908/954,4.6918/971,4.6923/1012,4.694/927,4.6965/76,4.6972/794,4.6984/812,5.5282/820,5.5812/761,5.6299/960,5.6317/1164,5.6387/1086,5.6766/994,5.72/1012,5.7243/614,5.7927/839,5.7962/890,5.8357/974,5.8564/431,5.8801/952,5.8858/979
S1T0,WT,0,126.39,108.9,124.1,688.13,117.8,182.72,7025.79,266.04,66.6,195.24,239.01,148.76,181.53,109.65,1067.74,184,284.45,552.98,202.26,53.85,163.16,58.93,0,200.16,0,43.93,249.21,52.14,126.46,0,34.9,573.81,98.34,0,21.75,30.23,313.52,138.71,178.79,18.37,182.46,0,0,0,0,35.14,42.22,115.87,0,131.95,77.77,0,62.04,491.38,250.76,60.85,299.24,1451.89,87.44,49.56,72.85,0,10.79,136.4,116.12,0,100.83,685.04,32.2,25.72,122.01,182.02,381.74,133.68,1056.08,187.25,151.87,709.5,100.41,437.45,81.5,643.44,1038.12,182.73,364.86,73.64,1255.64,137.6,269.88,50.65,41.16,118.31,0,0,201.34,37.56,0,438.76,110.04,0,202.02,365.8,1465.3,5091.01,154.31,139.08,134.95,63.53,286.68,215.73,30341.56,2715.42,14828.36,540.27,374.47,95.28,107.4,103.62,968.45,3047.02,515.74,357.62,2015.61,815.23
S1T1,WT,1,234.11,133.53,166.84,739.41,110.31,209.42,6967.26,291.46,230.29,217.44,280.89,142.78,276.26,92.99,762.63,201.48,220.84,633.13,338.84,400.41,165.38,350.21,34.38,216.87,114.54,877.32,1837.45,192.7,189.89,0,195.22,887.11,324.87,0,411.1,47.71,70.55,490.89,507.85,55.71,314.15,1643.68,41.86,109.92,113.54,189.69,120.22,344.59,114.27,498.93,317.35,0,447.37,2034.78,651.87,458.92,556.64,4017.94,144.52,113.38,186.27,0,0,1209.52,421.5,0,146.39,1224.07,150.87,183.92,1082.26,501.46,761.37,267.88,1952.96,317.48,351.18,1404.46,206.18,935.42,178.35,1173.37,1594.93,277.46,1015.31,157.85,2428.17,627.87,457.45,101.07,113.01,164.93,0,41.78,505.2,103.96,38.21,828.25,180.21,160.34,301.27,442.26,2398.62,6294.61,241.4,159.87,186.81,160.65,644.37,354.03,35440.53,3740.64,16815.8,302.6,183.82,72.96,269.82,206.05,1219.83,3877.33,718.2,374.92,2465.32,1156.94
S1T2,WT,2,162.68,128.66,156.18,529.62,114.56,144.61,5000.87,219.62,128.91,140.85,189.01,96.91,172.34,81.06,489.61,113.56,140.01,516.21,446.7,592.33,134.24,101.2,0,140.8,91.48,497.97,684.77,69.41,135.39,0,75.98,2249.2,64.03,412.41,316.15,41.86,271.44,418.5,862.91,95.38,152.9,1308.31,79.45,88.45,104.8,178.55,84.71,337.91,93.07,440.53,94.5,0,0,446.53,431.6,65.3,326.23,1952.25,108.95,82.82,77.27,0,90.99,154.02,137.51,0,190.22,1329.91,0,19.68,111.73,254.22,958.41,362.65,2519.79,323.92,245.66,2349.25,375.33,568.39,216.39,1622.81,4341.5,704.36,1022.65,184.01,3852.93,366.81,761.77,155.1,66.19,261.95,77.21,358.67,616.58,104.53,61.35,1316.66,302.62,379.2,486.72,716.13,3747.98,10854.13,385.28,251.3,282.75,641.63,795.58,479.32,47418.28,6393.5,26612.34,244.25,123.53,32.26,444.52,411.32,1690.1,5890.45,1159.41,592.91,2851.4,1686.93
S1T3,WT,3,115.29,205.38,82.57,354.46,99.99,92.6,3179.67,171.75,104.29,111.21,126.87,43.25,108.32,80.98,345.36,74.51,85.71,208.16,412.78,615.6,58.4,139.41,0,77.56,76.4,410.99,733.28,74.02,52.92,0,102.5,1183.6,0,0,175.73,0,97.68,332.65,494.27,53.76,103.13,914.95,58.69,74.66,0,98.84,95.28,267.81,89.36,403.03,87.6,0,109.91,431.01,616.74,66.69,443.02,2877.45,108.98,80.13,173.76,0,53.52,146.6,110.63,0,119.08,1149.58,43.3,23,172.55,116.56,743.02,260.5,1863.18,268.26,89.91,1547.53,259.9,729.94,168.99,1239.52,1160.77,198.1,825.18,110.29,2559.25,128.79,470.9,121.75,27.89,148.57,54.15,174.43,424.12,97.64,0,917.66,224.79,234.06,373.41,448.52,2828.02,7499.65,271.92,166.29,221.33,342.43,791.77,327.64,38163.94,4348.55,17717.53,355.85,171.57,67.58,270.96,316.29,1138.46,3628.32,800.87,218.14,1937.09,1177.36
S2T0,WT,0,172.44,121.48,158.4,828.48,144.39,255.9,7029.79,315.35,71.66,273.72,323.59,165.6,316.7,119.38,1312.55,225.77,281.84,677.56,257.62,50.5,205.91,69.08,0,289.41,0,0,362.62,45.93,185.56,0,53.44,769.42,113.09,0,0,45.94,416.05,203.43,208.22,8.96,210.51,807.21,15.71,18.91,78.93,48.08,38.08,139.06,49.5,198.94,110.91,0,120.03,757.21,398.03,107.04,401.6,2102.61,116.82,61.05,92.71,0,16.59,207.52,177.63,0,148.44,896.03,35.21,38.12,191.29,237.15,538.19,226.08,1528.36,229.75,236.8,978.33,136.52,544.73,127.92,897.6,1582.85,287.03,589.18,90.39,1772.76,212.88,431.97,105.33,34.99,148.28,0,0,345.19,58.49,0,650.41,159.62,0,280.05,428.59,1931.83,6228.52,211.1,168.64,172.97,147.52,392.61,250.17,34293,3536.06,15714.97,457.46,285.5,80.14,315.73,107.15,1109.15,3662.31,633.68,362.41,2219.94,1017.67
S2T1,WT,1,171.53,112.23,190.09,660.76,155.33,199.4,7022.22,292.9,220.06,215.96,270.7,126.21,230.51,105.93,757.2,191.52,200.89,568.84,391.02,359.87,198.26,335.05,27.68,244.95,115.1,812.19,1784.12,177.91,162.5,0,192.89,796.62,285.44,550.35,376.12,0,369.56,446.22,497.43,50.55,333.34,1680.63,38.33,110.49,104.47,178.67,102.6,385.81,100.98,439.45,327.62,0,431.14,1827.94,583.2,444.25,548.49,3782.27,137.34,86.14,167.57,0,52.33,1093.19,364.99,0,133.26,1176.05,154.6,142.67,1025.57,498.87,738.98,303.52,1784.53,335.01,361.73,1422.48,208.52,824.08,176.67,1111.95,1592.61,283.61,944.83,171.15,2347.45,545.67,453.78,98.4,108.14,159.29,0,46.71,553.26,94.29,23.69,855.25,195.19,168.55,336.34,489.73,2422.24,6796.05,232.5,169.69,181.83,189.78,641.88,320.68,36939.03,3851.2,16938.34,336,187.09,73.9,292.29,176,1263.98,4313.46,672.27,404.75,2358.71,1024.19
S2T2,WT,2,180.31,142.97,152.89,545.32,114.47,179.54,5101.51,220.97,128.29,150.1,205.75,77.48,196.95,72.48,517.71,122.89,142.56,529.04,456.28,670.96,119.35,116.34,21.33,182.96,114.25,509.49,688.19,66.52,137.26,0,89.15,2230.86,0,428.25,316.3,60.72,280.83,383.89,790.64,93.26,167.25,1262.35,94.6,116.65,117.71,208.22,102.37,343.88,103.78,438.43,84.35,0,107.48,419.26,452.86,93.71,332.21,1974.34,115.43,51.02,0,0,98.39,198.47,114.46,0,172.69,1389.13,44.84,0,105.26,0,944.38,358.32,2610.1,372.1,239.46,2236.85,345.63,594.03,175.79,1634.62,4349.14,737.28,1115.09,196.92,3761.54,359.23,697.5,158.67,63.45,268.07,78.78,378.28,694.84,116.01,115.61,1302.05,307.53,470.88,508.66,672.16,4099.18,11625.22,408.3,253.22,246.1,458.34,779.61,455.17,47975.88,6396.39,26455.64,261.21,145.29,25.31,386.97,475.77,1803.55,5661.82,1276.37,517.62,2814.91,1629.38
S2T3,WT,3,114.94,199.35,100.76,318.51,122,74.58,3296.96,126.02,112.66,92.26,99.2,66.47,93.32,61.64,308.37,63.36,81.68,217.09,421.24,620.78,62.78,131.66,0,49.32,58.91,407.68,754.99,78.59,50.81,0,96.25,1209.89,83.68,296.18,173,0,112.35,300.59,495.92,58.6,119.48,942.46,31.08,72.34,0,92.18,81.23,304.95,99.91,392.77,77.03,0,140.89,452.81,589.91,72.73,432.99,2864.03,89.47,89.09,147.72,0,44.38,265.2,107.99,0,158.9,1136.63,23.53,34.46,199.35,157.28,744.35,274.93,1746.35,253.22,96.64,1629.92,255.81,815.94,167.62,1201.82,1179.8,194.86,784.13,138.94,2671.16,142.52,485.15,112.71,0,147.96,61.04,182.96,467.97,82.17,22.09,894.92,231.14,246.36,357.29,487.29,3023.04,8386.07,265.22,173.18,245.06,266.13,864.98,350.11,37698.16,4554.14,18731.75,309.03,185.75,44.02,237.16,326.98,1117.54,3961.4,821.87,232.46,1937.2,1288.32
S3T0,WT,0,224.14,127.44,155.75,798.21,147.16,231.99,6685.19,282.01,109.62,209.56,293.59,150.73,252.36,103.34,958.22,219.88,201.98,702.26,193.63,0,57.42,69.41,0,55.64,55.56,64.27,325.87,52.78,35.37,0,53.82,272.01,78.53,0,31.15,0,89.26,191.47,215.7,20.45,128.34,581.7,14.37,17.75,44.41,39.6,31.29,130.51,0,190.89,92.37,0,105.64,591.77,378.89,110.66,335.38,2243.87,73.66,54.61,114.03,0,25.78,249.8,146.61,0,160.13,1124.27,50.05,37.82,192.64,187.86,650.59,242.12,1834.91,335.56,132.18,1356.3,192.75,519.22,161.36,1075.16,1303.6,208.3,856.51,160.07,2304.36,190.12,457.91,112.62,39.17,194.29,0,0,495.47,103.64,29.87,902.49,243.29,0,296.08,521.29,2604.7,7930.11,276.01,174.48,192.5,161.33,749.26,285.72,38387.5,3686.59,17747.38,345.81,194.35,84.91,270.16,121.92,1185.17,3990.4,737.13,475.47,2075.25,1218.37
S3T1,WT,1,195.09,102.45,174.85,714.6,132.82,196.13,6592.03,250.49,193.21,197.48,235.59,114.58,198.72,77.07,733.3,160.51,184.6,614.88,345.41,361.39,211.63,348.86,21.24,248.88,98.51,754.65,1826.53,185.69,179.15,0,209.84,747.25,332.33,496.31,380.69,97.64,398.31,395.23,460.53,64.05,396.9,1563.71,47.37,115.28,108.92,156.48,108.37,330.09,82.19,437.3,367.34,0,536.07,2357.04,646.72,445.32,559.66,4089.11,145.85,107.37,189.27,0,33.04,1127.09,397.94,0,133.72,1047.89,144.49,189.48,1119.1,551.97,645.67,267.12,1596.85,266.48,334.46,1257.72,175.89,768.15,183,970.16,1399,226.23,773.97,143.73,1965.29,638.03,360.65,96.44,116.62,142.19,0,37.29,403.37,73.57,23.46,732.41,197.86,135.34,262.21,406.23,2368.47,6758.02,238.69,167.87,188.65,105.88,552.4,291.81,35239.5,3544.96,17522.59,381.05,236.5,89.46,295.99,203.81,1174.57,3928.43,743.87,432.96,2047.55,1246.03
